,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
0,Borussia Dortmund,Werder Bremen,19,11,6,3,0.83,0.8,0.66,0.34,15,19,32,19,0.53,0.47,2,1
1,Hannover 96,Schalke 04,12,15,2,7,0.72,0.81,0.32,0.68,7,6,22,20,0.41,0.59,2,2
2,VfB Stuttgart,Wolfsburg,10,13,5,3,0.8,0.76,0.36,0.64,17,13,22,31,0.61,0.39,0,1
3,Freiburg,Mainz 05,8,8,4,3,0.72,0.7,0.3,0.7,5,13,21,33,0.5,0.5,1,1
4,Augsburg,Fortuna,16,9,4,4,0.82,0.78,0.54,0.46,11,10,23,18,0.52,0.48,0,2
5,Hamburger SV,Nuernberg,11,18,5,8,0.72,0.74,0.47,0.53,5,9,24,16,0.52,0.48,0,1
6,Eintracht Frankfurt,Bayer Leverkusen,20,20,4,10,0.8,0.78,0.53,0.47,14,9,17,22,0.55,0.45,2,1
7,Greuther Fuerth,Bayern Munich,7,18,1,8,0.79,0.91,0.24,0.76,6,11,23,20,0.28,0.72,0,3
8,Borussia,Hoffenheim,7,14,3,8,0.81,0.79,0.41,0.59,15,11,31,34,0.55,0.45,2,1
9,Bayern Munich,Wolfsburg,25,4,13,1,0.88,0.81,0.55,0.45,25,15,26,33,0.63,0.37,3,0
10,Schalke 04,Mainz 05,16,10,9,3,0.79,0.86,0.48,0.52,9,9,37,21,0.43,0.57,3,0
11,Borussia,Hamburger SV,9,18,4,4,0.73,0.86,0.54,0.46,8,18,26,23,0.42,0.58,2,2
12,VfB Stuttgart,Hoffenheim,9,17,3,10,0.8,0.72,0.48,0.52,11,15,32,30,0.6,0.4,0,3
13,Hannover 96,Nuernberg,7,6,4,2,0.75,0.72,0.45,0.55,8,12,18,15,0.47,0.53,4,1
14,Freiburg,Werder Bremen,19,5,7,3,0.81,0.73,0.55,0.45,25,9,9,20,0.55,0.45,1,2
15,Augsburg,Bayer Leverkusen,11,12,6,6,0.84,0.73,0.28,0.72,12,6,18,31,0.58,0.42,1,3
16,Greuther Fuerth,Fortuna,12,10,4,5,0.81,0.72,0.64,0.36,11,9,20,34,0.59,0.41,0,2
17,Eintracht Frankfurt,Borussia Dortmund,14,8,5,6,0.8,0.77,0.57,0.43,10,7,17,27,0.49,0.51,3,3
18,Mainz 05,Greuther Fuerth,11,7,3,2,0.8,0.57,0.66,0.34,33,13,30,44,0.69,0.31,0,1
19,Werder Bremen,Hamburger SV,16,11,8,4,0.8,0.74,0.52,0.48,9,14,31,35,0.54,0.46,2,0
20,Bayern Munich,VfB Stuttgart,16,7,13,4,0.9,0.82,0.44,0.56,8,6,24,26,0.61,0.39,6,1
21,Fortuna,Borussia,5,13,0,4,0.77,0.84,0.35,0.65,8,10,20,25,0.4,0.6,0,0
22,Nuernberg,Borussia Dortmund,6,18,3,6,0.61,0.82,0.35,0.65,6,9,16,14,0.36,0.64,1,1
23,Schalke 04,Augsburg,12,22,6,4,0.83,0.8,0.36,0.64,12,12,15,16,0.56,0.44,3,1
24,Borussia Dortmund,Bayer Leverkusen,15,6,7,2,0.86,0.78,0.39,0.61,15,13,25,33,0.58,0.42,3,0
25,Hoffenheim,Eintracht Frankfurt,7,17,3,5,0.68,0.86,0.48,0.52,12,7,23,20,0.33,0.67,0,4
26,Bayer Leverkusen,Freiburg,14,8,10,1,0.76,0.8,0.63,0.37,7,8,23,11,0.47,0.53,2,0
27,Bayern Munich,Mainz 05,21,7,9,1,0.9,0.79,0.63,0.37,10,9,16,23,0.68,0.32,3,1
28,Wolfsburg,Hannover 96,5,16,1,7,0.78,0.8,0.6,0.4,9,17,23,21,0.52,0.48,0,4
29,Borussia,Nuernberg,14,11,6,3,0.83,0.68,0.45,0.55,20,15,28,30,0.66,0.34,2,3
30,VfB Stuttgart,Fortuna,12,6,3,2,0.85,0.76,0.51,0.49,10,10,24,20,0.59,0.41,0,0
31,Hannover 96,Werder Bremen,13,11,5,4,0.64,0.79,0.46,0.54,9,14,23,26,0.39,0.61,3,2
32,Freiburg,Hoffenheim,23,9,9,5,0.82,0.73,0.5,0.5,19,11,23,29,0.59,0.41,5,3
