Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
0,PEC Zwolle,FC Utrecht,14,9,4,5,72,83,37,63,4,4,18,23,40,60,2,0
1,SC Heerenveen,FC Dordrecht,13,12,4,6,68,66,46,54,6,12,24,22,53,47,1,2
2,Cambuur,Twente,10,9,3,1,76,84,56,44,6,3,17,14,48,52,1,1
3,NAC Breda,Excelsior,13,10,4,3,75,70,53,47,6,10,15,38,47,53,1,1
4,Heracles,AZ Alkmaar,7,11,1,8,81,73,56,44,2,7,29,16,58,42,0,3
5,ADO Den Haag,Feyenoord,12,12,1,2,69,82,46,54,3,8,11,19,38,62,0,1
6,Go Ahead Eagles,FC Groningen,14,17,7,7,75,82,50,50,9,5,13,12,46,54,2,3
7,Ajax,Vitesse,11,14,7,8,75,84,48,52,10,6,28,21,44,56,4,1
8,Willem II,PSV Eindhoven,17,17,6,5,76,85,41,59,4,8,16,13,41,59,1,3
9,Feyenoord,SC Heerenveen,20,18,7,4,82,77,71,29,8,9,21,22,56,44,1,1
10,PSV Eindhoven,NAC Breda,15,16,6,8,85,81,61,39,9,14,24,16,58,42,6,1
11,FC Dordrecht,PEC Zwolle,13,12,1,4,78,64,50,50,2,8,16,10,57,43,1,2
12,Twente,ADO Den Haag,14,8,9,3,87,78,8,92,7,0,11,21,59,41,2,2
13,Vitesse,Cambuur,15,11,6,4,84,70,62,38,11,1,24,21,60,40,2,2
14,AZ Alkmaar,Ajax,10,16,3,9,70,78,46,54,10,19,27,21,42,58,1,3
15,FC Utrecht,Willem II,17,9,5,5,80,62,55,45,9,5,25,20,61,39,2,1
16,Excelsior,Go Ahead Eagles,11,12,4,6,73,82,42,58,5,7,23,19,44,56,3,2
17,FC Groningen,Heracles,9,13,4,4,81,76,53,47,3,8,15,13,52,48,3,1
18,Heracles,Cambuur,10,7,0,3,61,78,53,47,4,9,14,14,42,58,0,1
