,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
0,SC Heerenveen,De Graafschap,17,13,7,4,87,80,52,48,9,7,20,26,54,46,3,1
1,PEC Zwolle,Cambuur,11,21,5,7,67,80,55,45,8,6,17,13,35,65,2,2
2,Roda,Heracles,14,9,7,3,67,79,50,50,7,8,24,16,39,61,3,1
3,ADO Den Haag,PSV Eindhoven,14,14,3,5,81,78,46,54,10,12,17,13,51,49,2,2
4,Feyenoord,FC Utrecht,10,9,5,6,73,82,52,48,3,5,15,9,43,57,3,2
5,AZ Alkmaar,Ajax,16,15,1,5,71,78,59,41,5,9,20,12,44,56,0,3
6,NEC Nijmegen,Excelsior,9,4,2,2,83,73,45,55,1,4,15,12,56,44,1,0
7,FC Groningen,Twente,20,10,9,3,86,73,48,52,11,5,19,13,63,37,1,1
8,Willem II,Vitesse,14,13,5,8,70,76,62,38,4,2,27,16,49,51,1,1
9,Vitesse,Roda,24,5,9,1,87,61,64,36,19,8,18,22,74,26,3,0
10,De Graafschap,PEC Zwolle,21,16,4,5,80,69,52,48,3,6,16,19,58,42,0,3
11,Ajax,Willem II,15,11,7,1,80,70,63,37,3,7,19,21,54,46,3,0
12,Twente,ADO Den Haag,16,15,5,5,84,77,63,37,8,1,16,26,55,45,1,4
13,Excelsior,AZ Alkmaar,15,15,6,4,67,76,58,42,11,5,14,15,43,57,2,2
14,PSV Eindhoven,FC Groningen,16,8,6,2,85,82,81,19,8,8,17,21,54,46,2,0
15,Cambuur,Feyenoord,7,12,2,4,68,70,39,61,6,4,13,13,48,52,0,2
16,FC Utrecht,SC Heerenveen,14,8,3,4,72,79,56,44,2,9,18,13,42,58,1,1
17,Heracles,NEC Nijmegen,23,5,11,1,87,77,63,37,3,4,14,18,55,45,3,0
18,ADO Den Haag,FC Utrecht,10,7,2,5,71,77,48,52,4,4,17,17,43,57,1,1
19,Feyenoord,Vitesse,9,5,5,3,73,76,69,31,8,11,26,15,52,48,2,0
20,Willem II,NEC Nijmegen,7,4,0,3,84,74,38,62,11,9,15,21,61,39,0,1
21,FC Utrecht,FC Groningen,12,8,4,1,80,78,63,37,7,5,11,12,50,50,2,0
22,SC Heerenveen,PEC Zwolle,11,16,3,2,85,71,48,52,9,6,15,19,63,37,1,1
23,Excelsior,De Graafschap,14,16,5,3,75,68,71,29,11,3,13,18,51,49,3,0
24,FC Groningen,Excelsior,16,12,6,1,83,69,26,74,8,7,20,14,62,38,2,0
25,Heracles,Twente,20,12,9,6,70,79,59,41,9,9,27,20,44,56,2,0
26,Roda,De Graafschap,9,7,4,3,62,71,57,43,8,2,19,14,46,54,1,0
27,Ajax,ADO Den Haag,16,5,6,3,84,75,45,55,10,6,24,24,57,43,4,0
28,SC Heerenveen,PSV Eindhoven,19,16,8,6,76,82,53,47,5,9,30,20,45,55,1,1
29,AZ Alkmaar,Roda,7,11,0,4,77,70,61,39,8,8,22,24,53,47,0,1
30,NEC Nijmegen,Ajax,9,19,1,7,74,84,41,59,3,10,20,20,39,61,0,2
31,Vitesse,Cambuur,17,5,7,1,76,74,56,44,15,10,12,16,46,54,4,1
32,Cambuur,Heracles,17,15,3,10,73,68,36,64,9,4,15,18,55,45,1,6
33,PSV Eindhoven,Feyenoord,20,9,10,3,84,81,60,40,12,5,12,14,46,54,3,1
34,PEC Zwolle,Twente,25,26,7,5,77,80,64,36,12,18,28,16,44,56,2,1
35,De Graafschap,AZ Alkmaar,12,15,3,9,72,81,67,33,6,15,10,11,43,57,1,3
36,AZ Alkmaar,Willem II,15,6,7,1,73,65,31,69,7,2,12,23,54,46,0,0
37,Roda,NEC Nijmegen,9,10,2,2,81,81,55,45,4,2,11,12,48,52,0,0
38,Twente,Ajax,9,16,3,5,66,82,39,61,9,8,24,21,36,64,2,2
39,Cambuur,PSV Eindhoven,3,30,2,13,70,90,29,71,3,10,19,10,32,68,0,6
40,PEC Zwolle,Excelsior,16,11,6,2,79,81,63,37,4,7,18,10,51,49,3,0
41,FC Groningen,SC Heerenveen,22,9,9,3,79,79,56,44,7,9,13,12,50,50,3,1
42,Feyenoord,Willem II,22,2,7,1,82,73,54,46,9,3,16,16,56,44,1,0
43,FC Utrecht,Vitesse,12,13,7,5,74,82,48,52,11,10,27,11,39,61,2,1
44,NEC Nijmegen,SC Heerenveen,17,11,7,6,78,86,37,63,6,9,19,13,38,62,2,0
45,Cambuur,Twente,12,10,0,4,74,68,49,51,5,13,19,14,55,45,0,0
46,ADO Den Haag,Heracles,13,11,3,2,77,70,55,45,9,6,15,18,55,45,0,1
47,PEC Zwolle,ADO Den Haag,16,8,6,3,73,75,49,51,12,7,16,14,46,54,2,1
48,Heracles,PSV Eindhoven,15,18,6,7,70,77,38,62,9,12,24,11,47,53,2,1
49,Willem II,FC Utrecht,10,7,4,3,82,76,46,54,3,7,19,12,49,51,3,1
50,Roda,Feyenoord,15,15,6,5,75,75,32,68,6,7,15,20,42,58,1,1
51,Excelsior,Ajax,6,12,2,8,66,80,41,59,5,11,14,15,41,59,0,2
52,Vitesse,De Graafschap,12,11,6,4,84,66,61,39,10,6,20,16,66,34,3,0
53,FC Groningen,AZ Alkmaar,10,16,4,4,69,79,44,56,7,6,19,17,43,57,2,0
54,SC Heerenveen,Vitesse,6,15,2,5,72,81,42,58,7,9,18,18,40,60,0,0
55,FC Utrecht,Cambuur,12,7,6,4,76,63,54,46,15,5,21,23,60,40,3,3
56,Ajax,FC Groningen,18,3,6,1,83,81,70,30,10,6,21,19,51,49,2,0
57,AZ Alkmaar,Heracles,27,15,12,2,68,76,44,56,10,4,19,13,45,55,3,1
58,PSV Eindhoven,NEC Nijmegen,16,14,7,4,80,77,59,41,4,5,8,16,53,47,2,1
59,De Graafschap,Willem II,14,9,5,3,67,79,47,53,10,8,9,10,43,57,2,2
60,Feyenoord,PEC Zwolle,16,4,6,0,80,72,55,45,8,4,10,10,59,41,2,0
61,ADO Den Haag,Excelsior,16,8,6,5,79,70,51,49,4,12,18,15,59,41,3,3
62,Twente,Roda,20,12,4,5,81,73,48,52,11,6,16,31,53,47,2,1
63,Heracles,SC Heerenveen,16,9,5,5,76,74,50,50,11,12,20,15,47,53,2,0
64,NEC Nijmegen,ADO Den Haag,15,10,8,4,81,76,48,52,7,3,19,20,57,43,4,1
65,Roda,Cambuur,14,16,4,2,70,70,49,51,3,5,10,15,55,45,1,1
66,Willem II,PEC Zwolle,14,13,5,5,72,62,59,41,7,10,15,6,58,42,0,1
67,Excelsior,FC Utrecht,14,16,4,4,68,85,42,58,6,13,17,17,38,62,1,0
68,De Graafschap,Feyenoord,14,11,3,5,62,81,32,68,4,10,11,17,34,66,1,2
69,Ajax,PSV Eindhoven,8,17,2,7,71,83,47,53,11,8,20,15,41,59,1,2
70,Vitesse,FC Groningen,28,11,12,2,79,72,75,25,12,8,26,14,55,45,5,0
71,AZ Alkmaar,Twente,16,6,7,3,68,79,50,50,9,4,22,18,43,57,3,1
72,Cambuur,AZ Alkmaar,24,17,10,7,75,66,42,58,7,8,20,15,57,43,1,1
73,FC Groningen,Willem II,13,11,7,1,72,69,54,46,6,4,7,17,51,49,2,1
74,Heracles,Ajax,11,12,3,6,62,72,60,40,5,8,22,8,48,52,0,2
75,FC Utrecht,Roda,13,10,2,4,75,57,67,33,14,5,13,17,61,39,1,1
76,PSV Eindhoven,Excelsior,28,15,8,6,84,67,47,53,11,4,9,17,61,39,1,1
