,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
0,Amkar,Tom Tomsk,8,5,3,2,87,74,77,23,2,5,21,16,63,37,2,0
1,Anzhi Makhachkala,Lokomotiv Moscow,15,9,5,6,87,74,43,57,11,2,14,21,66,34,2,2
2,Dinamo Moscow,Volga Nyzhny,14,10,5,2,79,71,41,59,5,6,21,22,56,44,2,2
3,FC Krasnodar,Zenit St.Petersburg,13,13,8,6,75,78,47,53,7,7,27,23,47,53,1,2
4,Krylya Sovetov Samara,Spartak Moscow,13,14,3,5,65,86,61,39,5,6,18,14,31,69,1,2
5,Kuban Krasnodar,Rubin Kazan,18,14,5,4,83,77,36,64,5,3,9,15,61,39,1,1
6,FC Rostov,Terek Grozny,13,10,6,2,74,76,26,74,3,3,29,22,52,48,2,1
7,Ural,CSKA Moscow,9,21,4,8,69,85,22,78,4,6,14,27,36,64,2,2
8,Dinamo Moscow,Anzhi Makhachkala,15,6,5,2,86,88,50,50,6,18,30,9,49,51,2,1
9,CSKA Moscow,Krylya Sovetov Samara,16,8,4,4,82,79,60,40,6,7,12,17,55,45,2,1
10,FC Rostov,FC Krasnodar,5,17,2,4,60,78,56,44,5,6,16,22,40,60,2,2
11,Rubin Kazan,Zenit St.Petersburg,14,13,8,7,81,85,60,40,9,6,22,18,45,55,2,1
12,Terek Grozny,Amkar,10,10,4,3,73,71,51,49,9,6,15,9,46,54,1,1
13,Tom Tomsk,Kuban Krasnodar,7,14,1,4,73,77,79,21,6,8,12,26,51,49,1,2
14,Ural,Spartak Moscow,8,11,3,4,70,87,38,62,1,6,13,18,33,67,0,2
15,Volga Nyzhny,Lokomotiv Moscow,9,19,4,10,70,77,45,55,3,10,19,19,41,59,1,2
16,Lokomotiv Moscow,CSKA Moscow,12,13,3,5,82,84,61,39,12,2,31,21,53,47,1,2
17,FC Krasnodar,Amkar,7,10,5,4,70,75,45,55,4,5,14,14,41,59,2,1
18,Krylya Sovetov Samara,Anzhi Makhachkala,9,15,2,4,76,83,40,60,4,14,27,28,41,59,1,1
19,Dinamo Moscow,Spartak Moscow,10,15,3,6,73,81,62,38,5,11,26,13,43,57,1,4
20,FC Rostov,Tom Tomsk,11,14,4,3,78,75,50,50,7,6,12,18,46,54,3,0
21,Terek Grozny,Rubin Kazan,9,9,1,4,77,74,55,45,5,4,21,22,53,47,0,0
22,Ural,Volga Nyzhny,10,21,2,5,77,79,43,57,5,13,18,13,47,53,1,2
23,Zenit St.Petersburg,Kuban Krasnodar,9,9,5,4,84,69,50,50,6,7,27,17,60,40,1,1
24,Amkar,Krylya Sovetov Samara,11,8,4,1,76,64,73,27,3,3,9,14,61,39,0,0
25,Anzhi Makhachkala,FC Rostov,10,7,3,3,77,69,68,32,11,4,23,14,57,43,0,1
26,Dinamo Moscow,Terek Grozny,12,13,4,2,76,76,41,59,4,5,22,11,51,49,1,0
27,Kuban Krasnodar,Spartak Moscow,13,13,6,4,68,85,43,57,7,7,15,16,29,71,2,2
28,Rubin Kazan,CSKA Moscow,10,11,2,1,83,81,63,37,1,2,24,15,51,49,0,0
29,Lokomotiv Moscow,FC Krasnodar,19,4,6,3,81,73,52,48,4,2,17,22,56,44,3,1
30,Volga Nyzhny,Zenit St.Petersburg,19,14,4,7,80,78,0,100,9,5,8,14,53,47,1,3
31,CSKA Moscow,Kuban Krasnodar,16,19,7,8,82,82,39,61,9,3,11,18,55,45,1,0
32,FC Krasnodar,Dinamo Moscow,13,20,4,5,75,83,47,53,6,5,18,14,41,59,1,1
33,Krylya Sovetov Samara,Tom Tomsk,9,11,3,1,76,68,48,52,7,1,27,23,54,46,1,0
34,Spartak Moscow,Rubin Kazan,13,9,4,2,79,74,25,75,14,6,24,23,59,41,0,0
35,FC Rostov,Volga Nyzhny,19,8,8,0,79,74,44,56,12,18,26,22,55,45,4,0
36,Terek Grozny,Lokomotiv Moscow,6,16,0,3,70,73,39,61,5,10,14,23,49,51,0,1
37,Ural,Amkar,15,9,4,2,70,75,52,48,7,4,10,12,46,54,0,0
38,Zenit St.Petersburg,Anzhi Makhachkala,22,19,13,2,84,81,56,44,8,7,32,19,59,41,3,0
39,Amkar,Spartak Moscow,14,12,7,2,57,75,70,30,4,8,20,17,36,64,2,1
40,Anzhi Makhachkala,FC Krasnodar,11,17,5,8,65,88,48,52,4,1,14,12,32,68,1,2
41,Zenit St.Petersburg,Lokomotiv Moscow,12,13,6,4,86,80,55,45,9,6,15,22,56,44,2,1
42,Dinamo Moscow,Zenit St.Petersburg,14,8,5,1,80,82,63,37,8,6,14,18,52,48,1,1
43,Amkar,Rubin Kazan,7,10,4,4,71,79,53,47,8,8,19,16,44,56,0,0
44,Kuban Krasnodar,Ural,18,9,10,3,76,79,52,48,6,2,15,20,49,51,3,2
45,CSKA Moscow,FC Rostov,14,5,7,1,75,78,35,65,9,4,25,21,47,53,1,0
46,Rubin Kazan,Krylya Sovetov Samara,13,9,3,3,85,76,53,47,2,8,19,17,58,42,1,1
47,FC Krasnodar,Krylya Sovetov Samara,10,8,3,4,85,78,47,53,5,7,22,18,53,47,1,1
48,Lokomotiv Moscow,FC Rostov,17,3,7,0,86,76,63,37,5,3,21,15,57,43,5,0
49,Lokomotiv Moscow,Kuban Krasnodar,19,15,6,6,80,72,70,30,2,6,18,14,55,45,1,0
50,Tom Tomsk,CSKA Moscow,5,11,2,6,65,78,63,37,3,8,18,16,37,63,1,2
51,Tom Tomsk,Anzhi Makhachkala,11,8,4,6,70,76,50,50,2,7,12,19,46,54,2,2
