,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
0,Istanbul Basaksehir,Kasimpasa,8,9,3,4,65,82,35,65,7,5,12,9,28,72,1,1
1,Kayseri Erciyesspor,Trabzonspor,14,5,3,2,77,74,46,54,3,1,8,11,52,48,0,0
2,Sivasspor,Gaziantepspor,19,11,3,4,83,72,59,41,6,6,14,11,65,35,1,2
3,Fenerbahce,Karabukspor,15,8,7,3,88,81,57,43,6,3,17,12,64,36,3,2
4,Balikesirspor,Akhisar Belediyespor,10,11,1,4,66,79,46,54,9,14,19,18,42,58,1,2
5,Eskisehirspor,Konyaspor,12,9,4,5,83,75,41,59,4,4,13,17,57,43,2,1
6,Bursaspor,Galatasaray,15,8,3,5,81,81,24,76,12,9,15,25,46,54,0,2
7,Rizespor,Genclerbirligi,15,9,8,1,76,76,70,30,6,3,16,19,46,54,1,1
8,Mersin,Besiktas,19,13,3,7,75,70,51,49,8,13,19,12,50,50,0,1
9,Trabzonspor,Fenerbahce,12,9,2,3,64,84,33,67,2,2,7,8,35,65,0,0
10,Genclerbirligi,Bursaspor,12,20,3,5,76,73,32,68,4,3,11,15,51,49,1,2
11,Galatasaray,Eskisehirspor,11,8,2,3,88,75,75,25,2,7,16,12,69,31,0,0
12,Konyaspor,Balikesirspor,11,6,4,1,81,73,85,15,6,7,18,23,57,43,2,0
13,Gaziantepspor,Kayseri Erciyesspor,17,9,5,6,81,71,46,54,9,4,7,27,59,41,2,2
14,Karabukspor,Istanbul Basaksehir,5,11,1,3,79,66,42,58,8,5,17,13,62,38,0,0
15,Kasimpasa,Mersin,22,4,10,2,75,64,52,48,7,5,10,24,55,45,2,2
16,Akhisar Belediyespor,Sivasspor,8,11,3,6,75,84,63,37,3,6,30,10,47,53,2,2
17,Besiktas,Rizespor,14,6,3,2,88,60,41,59,11,5,17,19,77,23,1,1
18,Mersin,Rizespor,11,13,6,3,74,78,53,47,6,8,18,10,52,48,2,0
19,Fenerbahce,Gaziantepspor,25,10,4,5,80,61,55,45,12,11,41,27,66,34,1,0
20,Balikesirspor,Galatasaray,4,21,2,7,59,86,54,46,7,18,23,14,26,74,2,0
21,Istanbul Basaksehir,Trabzonspor,8,17,4,5,66,73,55,45,2,4,19,19,42,58,1,1
22,Kayseri Erciyesspor,Akhisar Belediyespor,11,11,6,4,68,77,27,73,2,0,11,11,41,59,1,2
23,Sivasspor,Konyaspor,7,5,0,2,82,63,62,38,2,3,11,24,63,37,0,0
24,Bursaspor,Besiktas,13,7,2,2,77,72,60,40,3,2,15,14,56,44,0,1
25,Kasimpasa,Karabukspor,12,8,3,2,74,70,38,62,3,8,13,25,55,45,2,1
26,Eskisehirspor,Genclerbirligi,22,10,8,4,83,63,63,37,9,6,15,28,62,38,0,2
27,Besiktas,Genclerbirligi,15,8,7,4,88,83,75,25,11,5,12,12,58,42,2,1
28,Kasimpasa,Besiktas,5,7,2,5,81,89,47,53,2,6,20,16,41,59,1,5
29,Besiktas,Konyaspor,13,7,4,2,85,72,63,37,11,7,16,27,63,37,0,1
30,Istanbul Basaksehir,Eskisehirspor,22,11,8,4,78,74,55,45,5,6,21,14,52,48,1,1
31,Konyaspor,Kasimpasa,15,14,6,3,66,83,41,59,6,4,21,18,33,67,2,1
32,Trabzonspor,Galatasaray,18,18,6,6,70,80,35,65,9,2,20,13,38,62,2,1
33,Bursaspor,Gaziantepspor,24,12,8,7,86,78,50,50,5,12,24,9,59,41,2,0
34,Karabukspor,Rizespor,20,8,8,1,88,60,39,61,9,3,14,30,74,26,2,0
35,Eskisehirspor,Mersin,16,5,6,2,65,78,43,57,3,4,21,14,41,59,2,0
36,Gaziantepspor,Konyaspor,4,17,2,4,63,71,44,56,2,4,19,12,45,55,1,1
37,Eskisehirspor,Trabzonspor,11,16,5,6,76,85,45,55,10,3,15,11,40,60,2,0
38,Balikesirspor,Istanbul Basaksehir,13,20,5,5,81,83,41,59,11,10,8,8,52,48,1,2
39,Fenerbahce,Besiktas,13,8,3,1,82,72,41,59,4,5,14,21,61,39,1,0
40,Mersin,Akhisar Belediyespor,12,12,1,4,78,82,52,48,5,6,9,11,53,47,1,1
41,Sivasspor,Kasimpasa,19,8,4,5,87,80,69,31,5,6,14,15,60,40,1,1
42,Rizespor,Trabzonspor,24,24,10,7,81,83,57,43,2,9,12,17,46,54,0,2
43,Karabukspor,Konyaspor,8,6,3,4,80,55,50,50,15,2,18,35,71,29,0,1
44,Sivasspor,Balikesirspor,27,4,6,1,80,69,53,47,7,6,11,15,64,36,1,1
45,Galatasaray,Genclerbirligi,21,16,4,3,78,80,46,54,7,11,23,16,56,44,1,0
46,Bursaspor,Karabukspor,19,8,9,2,82,80,22,78,6,9,20,12,51,49,7,1
47,Kayseri Erciyesspor,Rizespor,12,11,2,6,83,81,37,63,7,6,15,13,49,51,0,3
48,Kayseri Erciyesspor,Eskisehirspor,7,8,0,2,74,62,60,40,3,2,13,15,64,36,0,1
49,Karabukspor,Sivasspor,14,13,6,5,84,88,25,75,5,5,14,11,44,56,2,1
50,Sivasspor,Fenerbahce,9,26,5,7,73,80,50,50,11,8,16,25,42,58,2,3
51,Kasimpasa,Galatasaray,18,16,7,5,81,79,75,25,8,5,22,18,43,57,2,3
52,Istanbul Basaksehir,Rizespor,23,6,9,2,84,81,47,53,5,2,8,13,52,48,3,1
53,Akhisar Belediyespor,Bursaspor,4,27,0,6,82,85,46,54,8,10,19,18,53,47,0,1
54,Galatasaray,Konyaspor,16,9,4,4,83,65,45,55,7,5,14,19,67,33,1,0
55,Trabzonspor,Akhisar Belediyespor,24,17,8,9,81,81,53,47,8,16,21,14,51,49,2,0
56,Galatasaray,Gaziantepspor,29,9,7,1,83,67,62,38,5,7,19,13,59,41,1,0
57,Genclerbirligi,Mersin,20,14,8,8,82,79,38,62,8,4,18,15,54,46,1,2
58,Genclerbirligi,Akhisar Belediyespor,14,9,4,0,85,81,57,43,7,4,12,17,55,45,0,0
59,Mersin,Gaziantepspor,21,8,8,3,75,67,52,48,6,6,23,23,54,46,0,1
60,Genclerbirligi,Trabzonspor,8,16,2,1,69,78,59,41,3,1,13,15,44,56,1,1
61,Galatasaray,Besiktas,13,16,4,4,75,87,55,45,8,16,17,16,41,59,2,0
62,Besiktas,Gaziantepspor,24,12,9,2,83,72,56,44,6,10,18,15,59,41,1,1
63,Balikesirspor,Eskisehirspor,10,18,8,7,65,80,67,33,7,5,26,18,39,61,4,1
