Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
0,Fenerbahce,Eskisehirspor,18,8,4,2,86,74,67,33,6,4,22,20,57,43,2,0
1,Istanbul Basaksehir,Antalyaspor,21,11,8,6,82,68,47,53,6,8,20,18,65,35,2,3
2,Gaziantepspor,Kasimpasa,7,18,1,7,64,76,55,45,2,7,8,23,43,57,0,3
3,Genclerbirligi,Rizespor,17,10,3,5,79,73,37,63,11,5,9,16,55,45,2,3
4,Trabzonspor,Bursaspor,11,7,3,1,86,81,59,41,7,4,16,16,54,46,1,0
5,Mersin,Besiktas,18,22,7,10,81,86,46,54,5,8,8,15,46,54,2,5
6,Konyaspor,Akhisar Belediyespor,12,11,4,5,80,69,63,37,3,2,17,12,61,39,1,1
7,Osmanlispor FK,Kayseri Erciyessporspor,15,14,7,2,68,76,47,53,5,7,21,13,46,54,1,1
8,Sivasspor,Galatasaray,18,15,3,5,82,86,46,54,6,8,17,8,48,52,2,2
9,Besiktas,Istanbul Basaksehir,16,17,7,5,76,80,55,45,13,8,19,14,52,48,2,0
10,Kasimpasa,Fenerbahce,11,8,2,4,72,79,46,54,9,3,26,17,49,51,0,1
11,Osmanlispor FK,Konyaspor,19,9,6,6,77,69,50,50,6,4,22,23,51,49,1,2
12,Akhisar Belediyespor,Gaziantepspor,6,11,2,4,68,79,47,53,3,8,19,17,44,56,0,0
13,Bursaspor,Genclerbirligi,10,10,4,7,74,72,58,42,5,5,20,16,51,49,3,2
14,Antalyaspor,Eskisehirspor,11,10,7,4,66,73,48,52,6,3,12,20,48,52,2,0
15,Rizespor,Sivasspor,11,13,4,5,83,79,62,38,6,8,18,16,55,45,1,1
16,Kayseri Erciyessporspor,Trabzonspor,8,7,2,2,83,80,50,50,4,7,15,23,45,55,0,1
17,Galatasaray,Mersin,23,11,8,2,74,66,40,60,13,15,16,17,60,40,1,1
18,Fenerbahce,Bursaspor,11,13,4,4,75,69,42,58,6,7,18,25,56,44,2,1
19,Rizespor,Antalyaspor,11,15,5,4,64,84,68,32,2,6,20,12,34,66,5,1
20,Eskisehirspor,Kasimpasa,15,14,2,8,77,71,44,56,6,6,19,11,53,47,0,3
21,Sivasspor,Konyaspor,11,7,0,3,82,75,62,38,12,4,14,15,57,43,0,0
22,Genclerbirligi,Besiktas,6,17,2,7,62,82,50,50,3,2,24,14,32,68,1,1
23,Istanbul Basaksehir,Akhisar Belediyespor,9,7,3,1,70,77,42,58,1,6,24,21,43,57,2,0
24,Gaziantepspor,Kayseri Erciyessporspor,9,13,2,4,60,64,63,37,8,6,15,11,51,49,1,0
25,Trabzonspor,Galatasaray,12,14,3,4,77,82,53,47,9,10,12,17,49,51,0,1
26,Mersin,Osmanlispor FK,16,16,2,8,78,69,65,35,7,10,13,23,62,38,0,4
27,Konyaspor,Genclerbirligi,9,6,2,0,74,79,54,46,2,3,24,12,49,51,0,0
28,Kayseri Erciyessporspor,Rizespor,16,7,5,3,77,67,44,56,7,1,14,23,53,47,0,0
29,Galatasaray,Eskisehirspor,16,10,6,0,84,84,58,42,6,1,16,10,54,46,4,0
30,Akhisar Belediyespor,Antalyaspor,11,10,6,2,76,70,37,63,5,6,17,14,53,47,2,1
31,Besiktas,Kasimpasa,14,6,7,3,79,67,37,63,6,2,21,20,63,37,3,3
32,Bursaspor,Sivasspor,10,16,2,3,77,79,58,42,7,13,25,18,48,52,1,0
33,Trabzonspor,Gaziantepspor,14,7,7,3,82,69,54,46,6,8,11,22,61,39,2,2
34,Mersin,Istanbul Basaksehir,9,17,3,7,68,81,33,67,2,1,14,19,39,61,1,1
35,Osmanlispor FK,Fenerbahce,15,11,3,5,70,74,39,61,10,6,14,26,45,55,0,1
36,Istanbul Basaksehir,Genclerbirligi,17,7,5,2,73,62,53,47,7,6,17,29,58,42,2,0
37,Gaziantepspor,Fenerbahce,11,12,7,5,65,73,36,64,13,4,21,16,43,57,2,2
38,Kayseri Erciyessporspor,Besiktas,21,5,7,3,81,76,53,47,9,13,21,24,51,49,1,2
39,Galatasaray,Bursaspor,12,13,4,5,82,86,74,26,6,5,19,9,48,52,3,0
40,Akhisar Belediyespor,Sivasspor,12,12,2,2,74,72,46,54,7,8,12,15,51,49,1,0
41,Trabzonspor,Eskisehirspor,11,7,7,3,76,82,73,27,8,9,16,14,47,53,3,1
42,Mersin,Rizespor,6,13,5,4,68,77,57,43,3,3,22,20,44,56,3,0
43,Konyaspor,Antalyaspor,19,8,10,2,75,68,58,42,10,9,17,23,52,48,3,2
44,Osmanlispor FK,Kasimpasa,7,10,2,3,69,83,46,54,7,9,24,31,36,64,0,1
45,Fenerbahce,Sivasspor,25,8,8,3,79,70,59,41,8,1,18,17,61,39,2,1
46,Kasimpasa,Trabzonspor,23,10,7,4,77,77,64,36,13,8,14,25,48,52,1,1
47,Eskisehirspor,Genclerbirligi,6,21,2,6,58,82,48,52,5,8,18,17,30,70,2,0
48,Akhisar Belediyespor,Osmanlispor FK,6,9,1,3,72,63,44,56,6,7,21,10,57,43,0,0
49,Besiktas,Konyaspor,19,5,9,3,84,74,75,25,13,4,13,22,52,48,4,0
50,Bursaspor,Mersin,14,5,5,2,67,69,56,44,3,8,21,17,50,50,2,1
51,Antalyaspor,Gaziantepspor,12,17,3,4,76,64,52,48,5,4,20,21,59,41,0,0
52,Rizespor,Istanbul Basaksehir,17,7,4,1,76,69,56,44,4,6,15,4,55,45,2,1
53,Kayseri Erciyessporspor,Galatasaray,15,13,6,4,71,82,71,29,5,11,17,13,38,62,1,1
54,Genclerbirligi,Antalyaspor,13,3,5,0,76,76,70,30,9,6,14,19,50,50,1,0
55,Konyaspor,Kayseri Erciyessporspor,6,9,3,2,63,73,47,53,1,10,23,14,47,53,1,0
56,Mersin,Akhisar Belediyespor,13,8,4,1,69,65,50,50,12,5,17,23,51,49,0,0
57,Trabzonspor,Besiktas,13,13,3,7,68,82,39,61,5,7,22,12,39,61,0,2
58,Istanbul Basaksehir,Kasimpasa,14,8,6,3,76,71,42,58,10,4,16,23,55,45,1,1
59,Fenerbahce,Rizespor,17,5,4,2,73,55,57,43,8,6,14,23,58,42,2,1
60,Sivasspor,Eskisehirspor,17,13,6,6,77,65,25,75,3,2,11,14,69,31,1,2
61,Gaziantepspor,Bursaspor,15,9,7,4,65,65,60,40,8,5,12,16,52,48,2,3
62,Osmanlispor FK,Galatasaray,14,12,7,5,70,74,39,61,7,4,16,18,41,59,3,2
63,Osmanlispor FK,Sivasspor,20,8,7,2,73,73,60,40,4,7,19,18,50,50,4,0
64,Kasimpasa,Genclerbirligi,16,4,4,1,73,67,50,50,4,7,26,16,56,44,0,1
65,Akhisar Belediyespor,Trabzonspor,10,8,2,3,72,53,54,46,2,4,13,20,60,40,2,1
66,Antalyaspor,Fenerbahce,15,11,9,5,71,81,56,44,6,7,20,13,46,54,4,2
67,Bursaspor,Istanbul Basaksehir,10,16,5,6,66,85,35,65,7,12,16,17,31,69,3,3
68,Besiktas,Gaziantepspor,13,13,9,6,83,76,63,37,7,7,25,24,61,39,4,0
69,Galatasaray,Konyaspor,12,9,1,3,68,68,57,43,6,9,15,13,53,47,0,0
70,Rizespor,Eskisehirspor,18,5,4,3,82,72,57,43,6,5,27,19,59,41,1,1
71,Kayseri Erciyessporspor,Mersin,13,9,3,3,70,68,56,44,8,5,20,26,53,47,0,1
72,Akhisar Belediyespor,Fenerbahce,8,8,2,3,75,68,43,57,5,9,15,13,51,49,0,3
73,Osmanlispor FK,Gaziantepspor,14,5,2,1,73,69,57,43,13,1,22,15,51,49,1,1
74,Kasimpasa,Antalyaspor,9,9,3,3,83,77,72,28,7,7,20,18,56,44,2,1
75,Kayseri Erciyessporspor,Genclerbirligi,27,5,3,2,85,70,48,52,4,11,17,18,62,38,0,2
76,Galatasaray,Istanbul Basaksehir,18,10,8,5,89,74,13,87,5,7,12,17,65,35,3,3
77,Konyaspor,Trabzonspor,11,9,3,3,83,73,54,46,4,7,20,16,59,41,2,0
78,Bursaspor,Rizespor,14,8,3,1,76,83,41,59,7,5,12,14,36,64,1,0
79,Besiktas,Eskisehirspor,17,9,9,3,88,73,74,26,5,9,15,11,63,37,3,1
80,Mersin,Sivasspor,13,10,5,4,67,73,58,42,4,6,17,20,46,54,1,0
81,Akhisar Belediyespor,Kasimpasa,8,14,0,7,71,74,41,59,11,14,22,9,49,51,0,1
